Directory,File Name,Function Types,Function Params,Function Names
chrome/content/zotero/components,windowed-list.js,ClassMethod,,getWindowHeight
chrome/content/zotero/components,windowed-list.js,ClassMethod,scrollOffset,scrollTo
chrome/content/zotero/components,windowed-list.js,ClassMethod,index,scrollToRow
chrome/content/zotero/components,windowed-list.js,ClassMethod,,getFirstVisibleRow
chrome/content/zotero/components,windowed-list.js,ClassMethod,,getLastVisibleRow
chrome/content/zotero/components,windowed-list.js,ClassMethod,,_getRangeToRender
chrome/content/zotero/components,windowed-list.js,ClassMethod,,_getItemCount
chrome/content/zotero/components,windowed-list.js,ClassMethod,array,_binarySearchOffsets
chrome/content/zotero/components,windowed-list.js,ClassMethod,searchValue,_binarySearchOffsets
chrome/content/zotero/components,windowed-list.js,ClassMethod,lookupByOffset,_binarySearchOffsets
chrome/content/zotero/containers,tagSelectorContainer.jsx,,,
chrome/content/zotero,contextMenuUtils.sys.mjs,FunctionDeclaration,doc,getTargetElement
chrome/content/zotero,contextMenuUtils.sys.mjs,FunctionDeclaration,targetElement,getContextMenuPosition
chrome/content/zotero,contextMenuUtils.sys.mjs,FunctionDeclaration,targetElement,createContextMenuEvent
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,,get
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,,get
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,,get
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,,get
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,collapsed,set
chrome/content/zotero,contextPane.js,FunctionDeclaration,,_updateAddToNote
chrome/content/zotero,contextPane.js,FunctionDeclaration,,_updatePaneWidth
chrome/content/zotero,contextPane.js,FunctionDeclaration,,_isStacked
chrome/content/zotero,contextPane.js,FunctionDeclaration,,_update
chrome/content/zotero,contextPane.js,FunctionDeclaration,libraryID,_isLibraryReadOnly
chrome/content/zotero,contextPane.js,FunctionDeclaration,,_togglePane
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,enabled,toggleAccept
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,,doLoad
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,,doUnload
chrome/content/zotero,createParentDialog.js,AsyncFunctionDeclaration,,doAccept
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,,doManualEntry
chrome/content/zotero,customElements.js,ObjectPropertyFunction,,get
chrome/content/zotero,customElements.js,FunctionExpression,e,commandCallback
chrome/content/zotero,dateOverrides.js,,,
