,File Type,Directory,File Name,Functions,Imports
577,Javascript,chrome/content/zotero/test,modtime.js,[],[]
579,Javascript,chrome/content/zotero/test,test.js,[],[]
581,Javascript,chrome/content/zotero,timelineInterface.js,[],[]
582,Javascript,chrome/content/zotero,titlebar.js,"['onWindowClick', 'openWindowMenu', 'getX', 'getY']",[]
584,Javascript,chrome/content/zotero/tools,build_typeSchemaData.js,[],[]
585,Javascript,chrome/content/zotero/tools,csledit.js,"['init', 'loadCSL']",[]
587,Javascript,chrome/content/zotero/tools,cslpreview.js,[],[]
590,Javascript,chrome/content/zotero/tools,data_generator.jsx,[],[]
591,Javascript,chrome/content/zotero/update,update-header.js,[],[]
593,Javascript,chrome/content/zotero/update,updates.js,"['LOG', 'openUpdateURL', 'makeAbortable', 'abortAllPromises', 'setCurrentPage']",[]
597,Javascript,chrome/content/zotero/xpcom,annotations.js,[],[]
598,Javascript,chrome/content/zotero/xpcom,api.js,[],[]
599,Javascript,chrome/content/zotero/xpcom,attachments.js,"['nativeHandlerImport', 'process', '_enforceFileType', 'getDomainInfo', 'urlToDomain', '_getTitleFromVersion', 'normalizeURL', 'isTriedURL', 'addTriedURL', 'beforeRequest', 'afterRequest', 'handleRequestError', 'getSlicedCreatorsOfType', 'common', 'initializeFn', 'transformName', 'commonCreators', 'year', 'itemType', 'firstCreator', 'attachmentTitleFn', '_addToDB', '_postProcessFile']",[]
600,Javascript,chrome/content/zotero/xpcom,browserDownload.js,[],[]
601,Javascript,chrome/content/zotero/xpcom,cite.js,"['init', 'loadAbbreviations', 'normalizeKey', 'lookupKey']",[]
602,Javascript,chrome/content/zotero/xpcom,citeproc.js,"['_listifyString', '_decodeHtmlEntities', '_getAttributes', '_getAttribute', '_getTagName', '_castObjectFromOpeningTag', '_extractTextFromCompositeElement', '_appendToChildren', '_extendStackWithNewChildren', 'processElement', 'stripPunct', 'getBracketPreSort', 'sortCompare', 'record', 'makeRegExp', 'runStart', 'runEnd', 'runSingle', 'buildStyle', 'blobIsNumber', 'blobEndsInNumber', 'blobHasDecorations', 'blobHasDescendantQuotes', 'blobHasDescendantMergingPunctuation', 'matchLastChar', 'mergeChars', 'cullRight', 'cullLeft', 'addRight', 'addLeft', 'matchOnRight', 'matchOnLeft', 'mergeToRight', 'mergeToLeft', 'upward', 'leftward', 'downward', 'swapToTheLeft', 'swapToTheRight', 'fix', 'eval_string', 'eval_list', 'eval_spec', 'extendLocaleList', 'sniffLocaleOnOneNodeName', 'func', 'func', 'formatAndStrip', 'func', 'func', 'func', 'setSuffix', 'func', 'func', 'func', 'func', 'hasJoiningPunctuation', 'func', 'func', 'func', 'func', 'func', 'maketest', 'maketest', 'maketest', 'testSubsequentNear', 'testSubsequentNotNear', 'maketest', 'maketest', 'maketest', 'maketest', 'maketest', 'maketests', 'maketests', 'func', 'maketest', 'maketest', 'maketest', 'func', 'func', 'maketest', 'maketest', 'maketest', 'maketest', 'maketest', 'maketest', 'maketest', 'maketest', 'func', 'getCountryOrJurisdiction', 'abbreviate', 'getFieldLocale', 'getTextSubField', 'loadAbbreviation', 'publisherCheck', 'citeFormCheck', 'quashCheck', 'getOutputFunction', 'normalizeFieldValue', 'composeNumberInfo', 'fixupSubsections', 'parseString', 'setSpaces', 'fixNumericAndCount', 'fixLabelVisibility', 'setPluralsAndNumerics', 'stripHyphenBackslash', 'setStyling', 'checkTerm', 'checkPage', 'fixupRangeDelimiter', 'manglePageNumbers', 'fixRanges', 'setVariableParams', 'sniff', '_setOuterQuoteForm', '_getNestingOpenerParams', '_tryOpen', '_tryClose', '_pushNestingState', '_doppelString', 'TagReg', '_apostropheForce', '_undoppelToQueue', 'Stack', '_capitalise', '_textcaseEngine', 'tryOpen', 'tryClose', 'pushQuoteState', 'quoteFix', 'passthrough', 'lowercase', 'uppercase', 'sentence', 'title', 'capitalizeFirst', 'capitalizeAll', 'splitParticles', 'trimLast', 'parseSuffix']",[]
603,Javascript,chrome/content/zotero/xpcom,citeprocRsBridge.js,[],[]
604,Javascript,chrome/content/zotero/xpcom,collectionTreeRow.js,[],[]
605,Javascript,chrome/content/zotero/xpcom,commandLineHandler.js,[],[]
606,Javascript,chrome/content/zotero/xpcom/connector,httpIntegrationClient.js,['sendCommand'],[]
607,Javascript,chrome/content/zotero/xpcom/connector,server_connector.js,['sendResponseCallback'],[]
608,Javascript,chrome/content/zotero/xpcom/connector,server_connectorIntegration.js,[],[]
609,Javascript,chrome/content/zotero/xpcom,cookieSandbox.js,[],[]
610,Javascript,chrome/content/zotero/xpcom/data,cachedTypes.js,['isValidForItemType'],[]
611,Javascript,chrome/content/zotero/xpcom/data,collection.js,[],[]
612,Javascript,chrome/content/zotero/xpcom/data,collections.js,[],[]
613,Javascript,chrome/content/zotero/xpcom/data,creators.js,[],[]
614,Javascript,chrome/content/zotero/xpcom/data,dataCache.js,[],[]
615,Javascript,chrome/content/zotero/xpcom/data,dataObject.js,['sortFunc'],[]
616,Javascript,chrome/content/zotero/xpcom/data,dataObjectUtilities.js,[],[]
617,Javascript,chrome/content/zotero/xpcom/data,dataObjects.js,['addRel'],[]
618,Javascript,chrome/content/zotero/xpcom/data,feed.js,[],[]
