Directory,File Name,Function Types,Function Names,Function Params
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindowInFrame,aURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindowInFrame,aParams
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindowInFrame,aWhere
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindowInFrame,aFlags
chrome/content/zotero,browserWindowShim.js,ClassMethod,createContentWindowInFrame,aName
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURI,aURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURI,aOpenWindowInfo
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURI,aWhere
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURI,aFlags
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURI,aTriggeringPrincipal
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURI,aCsp
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURIInFrame,aURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURIInFrame,aParams
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURIInFrame,aWhere
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURIInFrame,aFlags
chrome/content/zotero,browserWindowShim.js,ClassMethod,openURIInFrame,aName
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURI,aURI
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURI,aOpenWindowInfo
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURI,aWhere
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURI,aFlags
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURI,aTriggeringPrincipal
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURI,aCsp
chrome/content/zotero,browserWindowShim.js,ClassMethod,getContentWindowOrOpenURI,aSkipLoad
